time_sec	pepi_cmH20
77.24916	12.49109459
77.25316	12.65752029
77.25716	12.44948864
77.26116	12.49109459
77.26516	12.57430744
77.26916	12.53270149
77.27316	12.42868519
77.27716	12.55350494
77.28116	12.49109459
77.28516	12.44948864
77.28916	12.49109459
77.29316	12.51189804
77.29716	12.38707829
77.30116	12.44948864
77.30516	12.49109459
77.30916	12.38707829
77.31316	12.49109459
77.31716	12.53270149
77.32116	12.42868519
77.32516	12.42868519
77.32916	12.57430744
77.33316	12.34547234
77.33716	12.32466888
77.34116	12.47029209
77.34516	12.44948864
77.34916	12.38707829
77.35316	12.51189804
77.35716	12.49109459
77.36116	12.32466888
77.36516	12.47029209
77.36916	12.51189804
77.37316	12.38707829
77.37716	12.40788174
77.38116	12.55350494
77.38516	12.40788174
77.38916	12.38707829
77.39316	12.49109459
77.39716	12.44948864
77.40116	12.36627579
77.40516	12.49109459
77.40916	12.38707829
77.41316	12.38707829
77.41716	12.49109459
77.42116	12.38707829
77.42516	12.32466888
77.42916	12.40788174
77.43316	12.51189804
77.43716	12.30386543
77.44116	12.40788174
77.44516	12.47029209
77.44916	12.36627579
77.45316	12.30386543
77.45716	12.44948864
77.46116	12.38707829
77.46516	12.24145603
77.46916	12.42868519
77.47316	12.42868519
77.47716	12.30386543
77.48116	12.34547234
77.48516	12.36627579
77.48916	12.26225948
77.49316	12.32466888
77.49716	12.40788174
77.50116	12.19985008
77.50516	12.32466888
77.50916	12.30386543
77.51316	12.26225948
77.51716	12.24145603
77.52116	12.34547234
77.52516	12.22065258
77.52916	12.24145603
77.53316	12.34547234
77.53716	12.26225948
77.54116	12.26225948
77.54516	12.26225948
77.54916	12.30386543
77.55316	12.17904663
77.55716	12.28306293
77.56116	12.32466888
77.56516	12.19985008
77.56916	12.19985008
77.57316	12.36627579
77.57716	12.15824318
77.58116	12.09583378
77.58516	12.28306293
77.58916	12.22065258
77.59316	12.13743973
77.59716	12.26225948
77.60116	12.13743973
77.60516	12.09583378
77.60916	12.28306293
77.61316	12.22065258
77.61716	12.09583378
77.62116	12.13743973
77.62516	12.24145603
77.62916	12.09583378
77.63316	12.19985008
77.63716	12.19985008
77.64116	12.11663628
77.64516	12.09583378
77.64916	12.22065258
77.65316	12.07503033
77.65716	12.11663628
77.66116	12.11663628
77.66516	12.09583378
77.66916	12.07503033
77.67316	12.17904663
77.67716	12.11663628
77.68116	12.05422688
77.68516	12.17904663
77.68916	12.13743973
77.69316	12.11663628
77.69716	12.03342342
77.70116	12.05422688
77.70516	12.01262093
77.70916	12.01262093
77.71316	12.17904663
77.71716	12.07503033
77.72116	12.03342342
77.72516	12.22065258
77.72916	12.19985008
77.73316	12.11663628
77.73716	12.17904663
77.74116	12.15824318
77.74516	12.03342342
77.74916	12.19985008
77.75316	12.19985008
77.75716	12.09583378
77.76116	12.09583378
77.76516	12.17904663
77.76916	12.07503033
77.77316	12.09583378
77.77716	12.24145603
77.78116	12.03342342
77.78516	12.07503033
77.78916	12.24145603
77.79316	12.13743973
77.79716	12.03342342
77.80116	12.15824318
77.80516	12.07503033
77.80916	11.97101402
77.81316	12.05422688
77.81716	12.05422688
77.82116	11.84619427
77.82516	11.99181747
77.82916	12.07503033
77.83316	11.86699772
77.83716	11.88780117
77.84116	11.97101402
77.84516	11.82539177
77.84916	11.74217892
77.85316	11.95021057
77.85716	11.82539177
77.86116	11.65896606
77.86516	11.82539177
77.86916	11.82539177
77.87316	11.70057201
77.87716	11.88780117
77.88116	11.80458832
77.88516	11.76298141
77.88916	11.80458832
77.89316	11.90860462
77.89716	11.80458832
77.90116	11.72137547
77.90516	11.99181747
77.90916	11.76298141
77.91316	11.78378487
77.91716	11.84619427
77.92116	11.86699772
77.92516	11.63816261
77.92916	11.74217892
77.93316	11.84619427
77.93716	11.65896606
77.94116	11.72137547
77.94516	11.74217892
77.94916	11.61735916
77.95316	11.70057201
77.95716	11.72137547
77.96116	11.61735916
77.96516	11.57575321
77.96916	11.63816261
77.97316	11.49253941
77.97716	11.3261137
77.98116	11.47173691
77.98516	11.3053112
77.98916	11.11808205
77.99316	11.18049145
77.99716	11.11808205
78.00116	10.95165634
78.00516	10.91004944
78.00916	10.91004944
78.01316	10.76442719
78.01716	10.68121433
78.02116	10.61880398
78.02516	10.43157482
78.02916	10.41077232
78.03316	10.34836197
78.03716	10.20273972
78.04116	10.03631401
78.04516	10.03631401
78.04916	9.953101158
78.05316	9.765872002
78.05716	9.807477951
78.06116	9.641052246
78.06516	9.474626541
78.06916	9.391413689
78.07316	9.391413689
78.07716	9.245791435
78.08116	9.183381081
78.08516	9.016955376
78.08916	8.912939072
78.09316	8.829726219
78.09716	8.871333122
78.10116	8.725709915
78.10516	8.621694565
78.10916	8.55928421
78.11316	8.600891113
78.11716	8.392858505
78.12116	8.351252556
78.12516	8.247236252
78.12916	8.184825897
78.13316	8.018400192
78.13716	8.018400192
78.14116	7.935187817
78.14516	7.789565086
78.14916	7.768761635
78.15316	7.685548782
78.15716	7.623139381
78.16116	7.519123077
78.16516	7.60233593
78.16916	7.394303799
78.17316	7.477516651
78.17716	7.394303799
78.18116	7.103058338
78.18516	7.186271191
78.18916	7.165468216
78.19316	7.040648937
78.19716	6.915829182
78.20116	6.936632633
78.20516	6.791009903
78.20916	6.70779705
78.21316	6.666190624
78.21716	6.728600502
78.22116	6.686994076
78.22516	6.686994076
78.22916	6.541371346
78.23316	6.416552067
78.23716	6.416552067
78.24116	6.478961468
78.24516	6.187716484
78.24916	6.104503632
78.25316	6.22932291
78.25716	6.270929337
78.26116	6.042093754
78.26516	5.958880901
78.26916	5.834061623
78.27316	5.813258171
78.27716	5.854864597
78.28116	5.60522604
78.28516	5.626029015
78.28916	5.584422588
78.29316	5.209964752
78.29716	5.209964752
78.30116	5.355587006
78.30516	4.960325718
78.30916	4.793900013
78.31316	4.939522743
78.31716	4.960325718
78.32116	4.648277283
78.32516	4.669080734
78.32916	4.689883709
78.33316	4.56506443
78.33716	4.440245152
78.34116	4.648277283
78.34516	4.253015995
78.34916	4.481851578
78.35316	4.502654552
78.35716	4.440245152
78.36116	4.377835274
78.36516	4.606670856
78.36916	4.024180412
78.37316	4.190606117
78.37716	4.4194417
78.38116	4.169803143
78.38516	4.107393265
78.38916	4.024180412
78.39316	4.294622421
